Note,Octave,Value,BPM,Title
E,3,q,120,Ode to Joy
E,3,q,,
F,3,q,,
G,3,q,,
G,3,q,,
F,3,q,,
E,3,q,,
D,3,q,,
C,3,q,,
C,3,q,,
D,3,q,,
E,3,q,,
E,3,qd,,
D,3,e,,
D,3,h,,
E,3,q,,
E,3,q,,
F,3,q,,
G,3,q,,
G,3,q,,
F,3,q,,
E,3,q,,
D,3,q,,
C,3,q,,
C,3,q,,
D,3,q,,
E,3,q,,
D,3,qd,,
C,3,e,,
C,3,h,,
D,3,q,,
D,3,q,,
E,3,q,,
C,3,q,,
D,3,q,,
E,3,e,,
F,3,e,,
E,3,q,,
C,3,q,,
D,3,q,,
E,3,e,,
F,3,e,,
E,3,q,,
D,3,q,,
C,3,q,,
D,3,q,,
G,2,h,,
E,3,q,,
E,3,q,,
F,3,q,,
G,3,q,,
G,3,q,,
F,3,q,,
E,3,q,,
D,3,q,,
C,3,q,,
C,3,q,,
D,3,q,,
E,3,q,,
D,3,qd,,
C,3,e,,
C,3,h,,
